layer,fit_pairs,eval_pairs,mean_margin,ci_low,ci_high,cohens_d,margin_std,positive_rate,direction_norm
1,1141,127,1.1340222358703613,-1.1549881639156019,3.4230326356563245,0.08616442919245355,13.161141395568848,0.5433070866141733,1.0
2,1141,127,1.4770843982696533,-1.4808819002073723,4.4350506967466785,0.08684929556551578,17.007442474365234,0.5433070866141733,0.9999999403953552
3,1141,127,1.7923673391342163,-1.7307219841399406,5.315456662408373,0.08848253939154434,20.25673484802246,0.5433070866141733,0.9999999403953552
4,1141,127,2.104574203491211,-1.9772623006665189,6.186410707648941,0.08967323726820661,23.46936798095703,0.5433070866141733,1.0000001192092896
5,1141,127,2.251549482345581,-2.1154690325975594,6.6185679972887215,0.08967072344407906,25.109081268310547,0.5433070866141733,1.0
6,1141,127,2.4259746074676514,-2.242795814383805,7.094745029319108,0.09037284260320184,26.844066619873047,0.5433070866141733,1.0
7,1141,127,2.84340238571167,-2.699996816733657,8.386801588156997,0.0892105833706799,31.872926712036133,0.5433070866141733,1.0000001192092896
8,1141,127,3.272151231765747,-3.1426443775432897,9.686946841074784,0.08871657258310571,36.883201599121094,0.5433070866141733,1.0
9,1141,127,3.7545220851898193,-3.5420839199516223,11.051128090331261,0.08949277561371254,41.95335388183594,0.5433070866141733,1.0
10,1141,127,3.494138717651367,-3.4007944286103386,10.389071863913074,0.08813822372853695,39.64385223388672,0.5433070866141733,1.0
11,1141,127,3.4390275478363037,-3.439780220036324,10.317835315708932,0.08695142274476125,39.5511360168457,0.5433070866141733,0.9999998807907104
12,1141,127,3.266909122467041,-3.2610971921362557,9.794915437070337,0.08703835986270227,37.53413009643555,0.5433070866141733,1.0
13,1141,127,3.434572458267212,-3.288265979072759,10.157410895607182,0.08885343448855464,38.65435791015625,0.5433070866141733,1.0000001192092896
14,1141,127,3.465049982070923,-3.3565271227603466,10.286627086902193,0.08834437894919894,39.222076416015625,0.5433070866141733,0.9999999403953552
15,1141,127,4.294992923736572,1.2904335369724071,7.299552310500737,0.24861989060038403,17.275339126586914,0.5511811023622047,1.0
16,1141,127,5.2372965812683105,2.348470703802704,8.126122458733917,0.3153116471570927,16.609905242919922,0.5511811023622047,1.0000001192092896
17,1141,127,6.672792911529541,4.4511767078662885,8.894409115192794,0.5223875565853926,12.77364444732666,0.6850393700787402,0.9999999403953552
18,1141,127,10.367246627807617,8.143638719313095,12.590854536302139,0.8108853067007704,12.785096168518066,0.7716535433070866,0.9999999403953552
19,1141,127,10.55674934387207,8.488273646133106,12.625225041611035,0.8876341407948711,11.893131256103516,0.7637795275590551,0.9999998807907104
20,1141,127,13.560304641723633,11.126730440303865,15.993878843143401,0.9691233655213289,13.992341041564941,0.8031496062992126,1.0
21,1141,127,14.049053192138672,11.441003292219147,16.657103092058197,0.9368830270870904,14.995525360107422,0.8188976377952756,1.0
22,1141,127,15.54341983795166,12.532166146807912,18.55467352909541,0.8977459266292575,17.31382942199707,0.8031496062992126,1.0
23,1141,127,16.943679809570312,13.632810550477839,20.254549068662786,0.8900612937566535,19.036531448364258,0.8188976377952756,1.0000001192092896
24,1141,127,18.47907066345215,14.752241612822855,22.205899714081443,0.8623724324375807,21.428178787231445,0.8110236220472441,0.9999999403953552
25,1141,127,21.34071159362793,16.86385141973736,25.817571767518498,0.8290669013719232,25.740638732910156,0.8031496062992126,0.9999999403953552
26,1141,127,22.86028480529785,17.966741669228863,27.75382794136684,0.8124795276444589,28.136444091796875,0.8110236220472441,1.0
27,1141,127,24.794504165649414,19.437577830437235,30.151430500861593,0.8049964485799583,30.800762176513672,0.8110236220472441,1.0000001192092896
28,1141,127,25.87920379638672,20.228881160743576,31.52952643202986,0.7965845421400002,32.48770523071289,0.8188976377952756,1.0
