layer,fit_pairs,eval_pairs,mean_margin,ci_low,ci_high,cohens_d,margin_std,positive_rate,direction_norm
1,1141,127,0.0786452516913414,-0.0776644334643816,0.2349549368470644,0.0875066038734412,0.8987350463867188,0.5433070866141733,0.021400997415184975
2,1141,127,0.09499237686395645,-0.09278031081167579,0.2827650645395887,0.08798538583921822,1.079638123512268,0.5433070866141733,0.026311377063393593
3,1141,127,0.12495767325162888,-0.11802498775573836,0.3679403342589961,0.08944207312208463,1.397079348564148,0.5433070866141733,0.035775117576122284
4,1141,127,0.15273089706897736,-0.1448985847194612,0.4503603788574159,0.08924937125917232,1.7112826108932495,0.5433070866141733,0.045049745589494705
5,1141,127,0.17355836927890778,-0.16420654405766055,0.5113232826154761,0.08936865838283534,1.9420496225357056,0.5433070866141733,0.050655797123909
6,1141,127,0.27414101362228394,-0.2369415092654208,0.7852235365099887,0.09329045154194493,2.938575267791748,0.5433070866141733,0.07534843683242798
7,1141,127,0.27665799856185913,-0.23700998376818594,0.7903259808919042,0.09367311129514777,2.9534409046173096,0.5433070866141733,0.07580552995204926
8,1141,127,0.3034622371196747,-0.2588902230892389,0.8658146973285883,0.09385345537305229,3.2333624362945557,0.5433070866141733,0.0842907652258873
9,1141,127,0.298191100358963,-0.24168514166984278,0.8380673423877688,0.09606267417878858,3.104130744934082,0.5433070866141733,0.08465481549501419
10,1141,127,0.2919781804084778,-0.08328240503645007,0.6672387658534056,0.13532301236061423,2.1576387882232666,0.5433070866141733,0.13685449957847595
11,1141,127,0.34407007694244385,0.007331929078466359,0.6808082248064213,0.17770874367441078,1.9361460208892822,0.5433070866141733,0.19867365062236786
12,1141,127,0.3813009262084961,0.043747946653419634,0.7188539057635726,0.19646270767700327,1.9408310651779175,0.5433070866141733,0.23397548496723175
13,1141,127,0.3896796405315399,0.19277810529259004,0.5865811757704897,0.34420155220131404,1.1321263313293457,0.5669291338582677,0.2902913987636566
14,1141,127,0.4823397397994995,0.3400999117097595,0.6245795678892395,0.5897745622123577,0.8178374767303467,0.7007874015748031,0.3991294205188751
15,1141,127,0.5955235958099365,0.4183238163394642,0.7727233752804088,0.5845073916179189,1.0188469886779785,0.7007874015748031,0.502866804599762
16,1141,127,0.5315370559692383,0.3790205335205695,0.684053578417907,0.6061370949938174,0.8769254684448242,0.7007874015748031,0.4493674039840698
17,1141,127,0.5344783067703247,0.3703169332119084,0.698639680328741,0.5662566515939513,0.9438799619674683,0.6614173228346457,0.4487479329109192
18,1141,127,0.5592198371887207,0.37166501296211185,0.7467746614153296,0.5185713750364381,1.0783854722976685,0.6456692913385826,0.46462079882621765
19,1141,127,0.5687137842178345,0.37425367555289946,0.7631738928827695,0.5086481173412385,1.1180888414382935,0.6220472440944882,0.47108832001686096
20,1141,127,0.5800020098686218,0.3982560206477018,0.7617479990895418,0.5550330875688643,1.044986367225647,0.6535433070866141,0.485335111618042
21,1141,127,0.6198905110359192,0.4118568750638679,0.8279241470079705,0.5182456192455008,1.1961326599121094,0.6299212598425197,0.5158365368843079
22,1141,127,0.6478972434997559,0.4196080913043388,0.876186395695173,0.4935999054750799,1.3125959634780884,0.6220472440944882,0.5393433570861816
23,1141,127,0.6646271347999573,0.44071366258069994,0.8885406070192146,0.5162404784160455,1.287437081336975,0.6377952755905512,0.563515841960907
24,1141,127,0.6997924447059631,0.4462380987465282,0.9533467906653981,0.4800123390718058,1.457863450050354,0.6141732283464567,0.589142918586731
25,1141,127,0.7904242277145386,0.4062164788901332,1.174631976538944,0.35780658984240893,2.2090823650360107,0.5590551181102362,0.6306328177452087
26,1141,127,0.8434502482414246,0.4129374354003242,1.273963061082525,0.34074351559588634,2.475322961807251,0.5590551181102362,0.6701858639717102
27,1141,127,0.9337917566299438,0.44061508810660505,1.4269684251532826,0.32930757744172007,2.8356218338012695,0.5590551181102362,0.7331699728965759
28,1141,127,1.0011144876480103,0.4700333524193959,1.5321956228766247,0.3278514299946945,3.0535614490509033,0.5590551181102362,0.7886448502540588
29,1141,127,1.08075749874115,0.5143600515530239,1.6471549459292758,0.3318647929088953,3.256619930267334,0.5590551181102362,0.8658981323242188
30,1141,127,1.369149088859558,0.40116013948887586,2.3371380382302402,0.24599968625830212,5.5656538009643555,0.5433070866141733,1.016829490661621
31,1141,127,1.6020106077194214,0.5102313480569669,2.693789867381876,0.25520240245742265,6.277411937713623,0.5433070866141733,1.20700204372406
32,1141,127,2.5028278827667236,0.9628763066317014,4.042779458901746,0.2826689663722186,8.85427188873291,0.5590551181102362,1.9718084335327148
