dimension,n_seen,random_accuracy,random_accuracy_pct,judge_correct,judge_accuracy,judge_accuracy_pct,judge_ci_low,judge_ci_high,judge_ci_low_pct,judge_ci_high_pct,ours_correct,ours_accuracy,ours_accuracy_pct,ours_ci_low,ours_ci_high,ours_ci_low_pct,ours_ci_high_pct,delta_vs_judge,delta_vs_judge_pct,delta_ci_low,delta_ci_high,delta_ci_low_pct,delta_ci_high_pct,paired_n,paired_coverage,paired_agreement,paired_agreement_pct,both_correct,both_wrong,ours_only_correct,judge_only_correct,joint_missing_as_wrong,mcnemar_exact_p,ours_report,judge_report,ours_samples,judge_samples
Safety,127,0.5,50.0,71,0.5590551181102362,55.9,0.4722284228757405,0.6424140150033437,47.2,64.2,90,0.7086614173228346,70.9,0.6244366123001341,0.7806333348726304,62.4,78.1,0.14960629921259838,15.0,0.007466630003307384,0.2917459684218895,0.7,29.2,127,1.0,0.31496062992125984,31.5,37,3,53,34,0,0.05300311301096007,artifacts/rq2_llama3_1_8b/reports/safety_train_to_val_rq2_layer15.json,artifacts/rq2_llama3_1_8b/reports/safety_train_to_val_llm_judge.json,artifacts/rq2_llama3_1_8b/samples/safety_train_to_val_rq2_layer15.samples.jsonl,artifacts/rq2_llama3_1_8b/samples/safety_train_to_val_llm_judge.samples.jsonl
Efficiency,2700,0.5,50.0,1476,0.5466666666666666,54.7,0.527835807392361,0.5653649185673253,52.8,56.5,1578,0.5844444444444444,58.4,0.5657481041328959,0.6029008285560605,56.6,60.3,0.0377777777777778,3.8,0.007822645871884932,0.06773290968367063,0.8,6.8,2700,1.0,0.36814814814814817,36.8,674,320,904,802,9,0.014449353057674919,artifacts/rq2_llama3_1_8b/reports/efficiency_train_to_test_rq2_layer15_max8192.json,artifacts/rq2_llama3_1_8b/reports/efficiency_train_to_test_max8192_llm_judge.json,artifacts/rq2_llama3_1_8b/samples/efficiency_train_to_test_rq2_layer15_max8192.samples.jsonl,artifacts/rq2_llama3_1_8b/samples/efficiency_train_to_test_max8192_llm_judge.samples.jsonl
Correctness,442,0.5,50.0,187,0.4230769230769231,42.3,0.3778749052460007,0.4696045583123572,37.8,47.0,260,0.5882352941176471,58.8,0.5417845032728428,0.633165523821982,54.2,63.3,0.165158371040724,16.5,0.10349309933733063,0.22682364274411732,10.3,22.7,442,1.0,0.5361990950226244,53.6,121,116,139,66,0,3.760268516987031e-07,artifacts/rq2_llama3_1_8b/reports/correctness_train_to_test_rq2_layer15.json,artifacts/rq2_llama3_1_8b/reports/correctness_train_to_test_llm_judge.json,artifacts/rq2_llama3_1_8b/samples/correctness_train_to_test_rq2_layer15.samples.jsonl,artifacts/rq2_llama3_1_8b/samples/correctness_train_to_test_llm_judge.samples.jsonl
Readability,122,0.5,50.0,64,0.5245901639344263,52.5,0.4365817092674157,0.6110972776494704,43.7,61.1,94,0.7704918032786885,77.0,0.6882989938199642,0.8361698622657816,68.8,83.6,0.24590163934426224,24.6,0.1658530800958341,0.3259501985926905,16.6,32.6,122,1.0,0.7377049180327869,73.8,63,27,31,1,0,1.5366822481155336e-08,artifacts/rq2_llama3_1_8b/reports/test_smells_quality_train_to_test_rq2_layer15.json,artifacts/rq2_llama3_1_8b/reports/test_smells_quality_train_to_test_llm_judge.json,artifacts/rq2_llama3_1_8b/samples/test_smells_quality_train_to_test_rq2_layer15.samples.jsonl,artifacts/rq2_llama3_1_8b/samples/test_smells_quality_train_to_test_llm_judge.samples.jsonl
Overall,3391,0.5,50.0,1798,0.5302270716602772,53.0,0.5134039700346258,0.5469817634263991,51.3,54.7,2022,0.5962842819227366,59.6,0.5796701458928207,0.6126805075220544,58.0,61.3,0.06605721026245948,6.6,0.04010635067780711,0.0920080698471118,4.0,9.2,3391,1.0,0.4013565319964612,40.1,895,466,1127,903,9,7.261206482925477e-07,,,,
